username,komentar
@arifh6124,"sini main ke jatim biar tau dan paham ga hanya video sepotong2 ,kurang jauh mainmu bang"
@jivigourdha1164,"Kenapa bisa pro kontra, ya karena tidak sepaham, ada plus minus, kebanyakan yang dilihat minusnya aja. 
Gimana ya, saya suka2 aja, tapi jika ada orang lain gak suka ya saya biasa aja. 
Sound itu sewaan, jika di sewa sudah pasti yg nyewa juga suka, yg nyewa juga gak 1 orang saja, tapi mayoritas 1 desa, jalur yg digunakan juga di desa penyewa. 
Di samping itu, dengan ada nya banyak karnaval, sudah pasti mengundang banyak orang untuk nonton, dengan banyaknya yg nonton, UMKM lokal bisa dapat untung yg besar, ini poin yg paling bagus menurutku.
Ini cuma sudut pandang saya saja,"
@aangkusdiarta3188,"Harus di ingat ya  JAKARTA berdiri di atas pulau jawa  , jangan mudah bilang orang jawa timur jawa tengah dengan sebutan orang jawa  , ingat itu ya!!!!!!!!"
@wakandamlbb4918,"serius mau nanya,knapa sih daerah jatim dan jateng banyak bgt yg kelakuan nya aneh"" ,bahkan banyak kasus yg bikin geleng"" kepala"
@madejuli9349,"Untung saya di bali gak ada sound horeg ,"
@CucuKetuaSekteEmei,Kalo merusak jembatan itu kan udah diurus pihak panitia langsung diperbaiki. Aku gak suka sound horeg tapi aku benci juaga
@paguyuban_npc,Sound horeg pake headset
@mochandikwidianto854,"Menengah kebawah,  harga sewanya 50jt bos wkwk. Lu dugem habis brp semalam ?"
@rikoivan4,"Riset loo kurang bang, dan liat video hanya potongannya aja , 
Sebelum di adakannya acara sound horeg udah di musyawarakn oleh warga stempat , yg sewa masyarakat, yg dilewati kampung penyewa sendiri , balita dan orang sakit juga sudah di kondisikan , keeusakan fasilitas juga sudah ada pertanggung jawabannya , perizinan yg berwajib juga sudah, trus yg terganggu masyarakat mana, dan ini acara tahuan gk stiap hari , trus abang dari jawa timur mana,,,?"
@Pecelbalapaudio,"Sedikit info tentang horeg 
Sound horeg itu datangnya disewa bukan tiba² datang dibunyikan.
Penyewa itu kan ya daerah yang dilewati karnaval itu. Jadi sebelum diadakan karnaval itu pasti disepakati bersama dulu satu kampung itu. Disepakati bersama kalau oke ya kita akan karnaval, kalau nggak oke ya kita nggak karnaval.
Daerah yang di kelilingi karnaval itu sebenarnya udah oke semua. Kalau nggak oke itu pasti kita nggak ada acara karnaval
kita juga lihat kondisi juga mas kalau ada ruang rumah-rumah yang sempit itu terus ada anak kecil ya kita pelankan. Kita menyesuaikan lokasi nggak nggak setiap saat kenceng terus nggak
Hobi orang beda² kita harus menghargai hobi orang lain"
@houseprediction2834,Sound horeq tradisi orang mana sih bos?
@cippogrande862,08:22 setuju banget ..
@masbyock3734,penonton di jakarta membludak.apa ente tau mreka org mana.. omong doang.. ente terjun langsung ke owner sound system.. berani nggk
@mochandikwidianto854,"Monggo kalo.buat video tentang sound horeg minimal datang sendiri ke jawa timur, lihat sendiri seperti youtuber Dot Co ,  jangan bacot doang di youtube."
@morroco_egypt,sound horeg seharusnya di tiadakan.
@triharyatiningsih,"Gua juga orang Jawa tapi , juga keganggu sound horeg berisik banget , kuping ku rasa nya pengen budeg"
@xeniaxenia-w1l,Apakah Anda melihat Tikus?
@agoosSlibaw9306,"jawaaa jawaaa jawaaaaaa,
btw gue orng jawa,tapii gue juga udh muak denwgerr sound horeggg"
@cahmaguan1116,"SOUND HOREG SUDAH ADA SEJAK TAHUN 2015, TETAPI BARU VIRAL TAHUN 2022, KALIAN YANG BARU TAU GK USAH KEBANYAKAN BACOT"
@anasjylo7505,Pingin tenar
@sanssanjaya8740,hobi para primitif.
@mashendra2255,Mas coba turun langsung ke lapangan mas 
@nabilarukaruan,"emang jakarta itu bukan jawa ya 
kok banyak yg menyudutkan jawa para penduduk jakarta. sedangkan mereka menginjak dan hidup di tanah jawa.
gua cuman kurang setuju dengan olokan yang membawa nama jawa. bukan salah jawanya juga."
@golegend9436,Itu speakerman musuhnya skibidy toilet
@rahmaayu2413,Malang losss ....
@MusTakim-v7n,Sound horeg gk setiap hadir... sound horeg ada nya setiap tahun sekali
@MuseLikhun,"Segala sesuatu yg menggangu dan merusak, gk bakal suka lah"
@adamnur3075,Budaya asli jatim kan ya 
@yela2469,sound horeg selerane wong ndesoo
@adt2052,kirain sound horeg ada pas 17an doang
@diankurniawan87,Selamat berkat sound horeg view anda akan naik drastis..
@Emulation_Plugins,"Saya Asli Kediri Jawa Timur, dan Saya termasuk Orang yang kurang Menyukai Sound Horreg,  tapi saya pribadi gak terlalu masalah selama itu masih normal dan gak mengganggu saya dan Keluarga, toh juga gak setiap Hari. Alhamdulillah saya Pribadi gak ada Masalah sama Sound Horreg. saya gak suka Karena ya emang kurang  bisa menikmati aja."
@GuruNgaji9ustian,Stevan HD
@aammusrofa2003,"Serius nanya, enaknya son horek apa sih ?"
@whimaray3065,"Sound horeg ini gak papa. Asal tau tempat le. Bukan di gang atau di perkampungan. Kalo udah gitu, ganggu namanya "
@AnggaReza-c4m,Lucu lo klo mau bahas tentang sound horeg lngsung ke narasumber cok
@Clan80462,"Dirimu cari komen yg jelek"" aja,. Lapar lo ya"
@donridwan5770,Bang gua warge menengah gak terima gua suka sound horeg udh dibilangin itu cocok buat SDM RENDAH
@MAZDONCHANNEL,Hahay
@Akunmati291,"Gini ya mas sebenar nya malas juga aku ngomongin soal ini 
Jadi gini
1.sound horeg itu ada karena di sewa oleh warga sekitar jadi ketika ada warga yang terganggu ngapain mereka sewa sound horeg
2. Kerusakan yang di sebab kan oleh sound horeg itu sudah di ganti rugi oleh warga yang sewa sound tersebut 

Jujur saja media yang meyebarkan berita tetang sound horeg itu rata2 hoax karena mereka hanya meyomot vidio pendek lalu di beri narasi yang tidak sesuai di lokasi kejadian 
Jujur saja sound horeg di malang itu sudah memulih kan ekonomi di malang kusus nya daerah kabupaten 
Aku sendiri selaku crew dari salah satu rental audio di malang sangat terbantu soal ekonomi 
Banyak kawan2 dari bidang make up kawan2 usaha sablon usaha costum pedagang kaki5 tuakang parkir tukang lhigting bahkan pemulung pun merasakan dampak positif nya soal ekonomi 

Intinya sound horeg itu bukan asal2 an di pasang terus di bawa keliling ke kampung2 

1 . Mereka di sewa 
2. Mereka sudah ijin ke pihak keamanan 
3 .jika ada 1 warga yang tidak setuju mengadakan sound horeg maka acara tersebut tidak akan terlaksana"
@karispriss5587,"Selalu dan selalu salah penyebutan kata horeg
Cara penyebutan yang benar ""E"" seperti pada kata menang
Bukan seperti pada video diatas"
@delahelmania-mb5zm,serlok mas jawa timur mana... kalau karnapal itu musiman.. gak setiap hari ada karnapal
@chanel_anyar_official,"kenapa video yang diputar sing viral""  padahal udah ada klarifikasi dari penyelenggara ."
@WISNU_DISJOCKEY,Hadehh China berulah
@Sound_Balap_Indonesia.,"Gua aja gak setuju cuk, sekarang mah sudah Fomo banget apalagi banyak remaja yang mabuk,"
@dimassaputra5607,"Hiburan yg murah? 
Orang rela iuran 3jt per orang agar bisa sewa sound horeg lo. 
Klo untuk ke atlas atau diskotik sepele"
@ndsmu6225,"Dengan minimnya literasi.... lalu menganggap diri kita lebih baik dr orng lain....???



Apakah itu yg di maksud SDM TINGGI wahai manusia modern...???"
@calonlurah9087,"Kalopun diijinin kades nya,warganya yg nolak bisa apa pasti ga punya power ujung²nya kalah ama sipaling horeg,kades mah dikasih duit juga acc tuh acara ga jelas"
@kesatriabatubara2064,kok cuma baca skrip dari chat gpt bang
@OtankGasstros-g5m,"Sy sih Suka Sound Hoereg tapi Musiknya lagu metal,bluess,Jazz,Rock bukan kayak Musik Sound Hoeregdan di lapangan aja lah jangan keliling kampung."
@wintermaple1818,Wah ini cuma vidio comot dan dari narasumber yg  kurang berimbang.... Alangkah baiknya turun langsung ke lokasi.tanya masyarakat yg di sekitar.. Tanya masyarakat yg terlibat lgsung bukan masyarakat  luar  ...
@farkhanfadil5487,Tapi katanya kerugian itu di ganti sama panitia bng?
@salamdsalam5226,"Ayok terus kita suarakan untuk menyadarkan sound horeg itu mengganggu, harus dikasih batasan, kalau tidak bisa2 100 subwoofer mereka bawa dalam karnaval, dibatasi dah maksimal 9 box isi 24 inchi single. Jangan bawa 30 box atau bahkan lebih"
@cakebot8198,Warga yang mana ini
@BuatTess,Ga cocok lu kalo serius 
@distaofficial,adminya cri2. Masalah ae jatim nie bos loss horegg smga sound horeg mkin jaya slmnya amin... Aq tanya ke admin kou dpat vidio itu mna jwab jgn diem nyenggol2 sound horeg pdhal sound horeg gc prnh nyenggol hobi/kesenangan org lain klo lu pngn tau brani gc dtang lngsung ke malang aq tunggu vidio mu asli dri kmu sndri jgn nyuri kmu itu cri masalah kmu ambil vidio yg negatif2 jh
@hanyachanelbiasa8357,"bang, link dc nya expired"
@andreasbudiraharja1641,"ga ada pronya , polusi suara doang"
@Rea-t2p,"Emg sih bikin sound 1 aaja bisa abis 1jt lebih ,tp ini berlebihan hobi ya hobi ga perlu di arak di jalan, lebih ke pamer. Semua orng emg suka musik tp cara nikmati beda2 kalo di puter kenceng ya jls ganggu banget ga semua orng terima sama musik yg lu puter"
@siutuh4650,Mudahan tidak masuk ke daerah gw aja sih
@에빈아난다,gak ada yg suka sound horek sumpah. sound hoek iya
@Sunshinenicee,Jatim core 
@vends4555,Tangkap aja. Bubarin selesai. Mengganggu. perusak generasi
@maskoclok4100,"Asli mengganggu , "
@calonprogramer5106,Jowo 
@mohamadronisetiawan,konten pengen rame? nyenggol sound horeg solusinya
@1545390,"hobi sound horeg kek orang gila... yah gimana pun di negara ini, segala keburukan adalah kebenaran saking umumnya orang orang pada memaklumi keburukan.,"
@bidin0058,jawatimur rendah hati .lo hina lu bilang sdm rendah . terserah sond horeg tatap jaya
@5156joe,"konsepnya bagus bang, beragam ada yg serius, ada yg lucu..
tapi yg serius malah yg dibahas se receh sound horeg
bahas sesuatu yg agak gelap ato dalam jg bang..
ato peristiwa yg gak masuk akal jg bagus kok"
@shinryuki4275,Sound horeg tu budaya?
@Car3000itis,Percuma kawan2 kalian koar2 ke pecinta sound horeg. Mereka lebih tuli daripada orang yang tuli 
@gaspolll826,"DI JATIM BNYAk speak kwalitas sound konser yg orng kota idam kan , dan pasti stiap jari ada acara , buat kaLangan mnengah ke atas dan SDM tinggi serta orng pinggiran kota , APKAH KALIAN MAMPU SPERTI JATIM ???? "
@B_M_IDN123,Pertama
@MisviaGemoy,halahhhh tai
@Fauzi.32321Kumiss,bang mscbreww halo bang
@reygaalfarizie,"Jangan asal bacot bang kalau belum tau di lokasi
Datang aja ke malang bos kalau ingin tau yang jelas"
@sumardidi637,Selera beda bang..
@Raja-z7t,"Kalo misalnya di tanah lapang iya lah gk ganggu masyarakat, lah ini di pemukiman warga kan bgsat"
@wkwkwkcuak,Aku suka sound horeg
@catanimator5546,Alo bg
@prfseriktalent7922,"Sebenernya ga ada masalah jika pelaksana'annya di lapangan ataupun tempat"" terbuka. Asal jangan di jalan"" kampung, sound lu ganggu kocak... kasian noh kalok ada yang sakit. Rumah"" pada pecah kaca'e. Cobak mikir kalok itu rumah dia mungkin juga gedeg ajg"
@Lirik_lag-h7q,Yang mau cari lagu mampir
@batonsafarikukuh,Jujur aja mmg sdm tinggi hiburannya di diskotik dan hotel2 berbintang smpe remang2 di villa dll belum lagi sabu narkoba dll
@renaldypalgunady5710,Mereka sangat menjijikan
@rifkirosyada8383,Sng di woco sng elek tok....sng apik ra di woco
@GenthoKilla-bf1jv,Gini amat pengen rame
@Baabul_Jannah-sdm,Apa gua ke 8?
@Fisa_real-w6d,"berkali2 dia mengatakan masyarakat menengah kebawah, lah dia ga tau kalo nyewa sound horeg bisa sampai 1-2juta perorang. belum lagi sewa kostum kaya di gondanglegi bisa mencapai 2jutaan"
@Baabul_Jannah-sdm,Apa gua ke 8?
@FathurRozi-yz2qm,yg mana yg terganggu pdahal warga sdiri yg mendatangkan sound horeg
@Ruby_can1,Apakah gw ke 4 ?
@aliandoanam4014,Gw benci sound horeg
@KhoirurRozikin-xt3bl,Cari panggung ini   pansos lewat sound horeg yang banyak penggemarnya wkwk
@calonceo2007,"1 Kata buat sound Horeg 




































KAMPUNGAN "
@cakebot8198,Wah berita hoax ini..asal nomong wae..ngak pernah lihat langsung
@calonprogramer5106,Jowo jowo
@oziel46motovlog99,Joss sound horek.. Teruskan kalau bisa tambah 15 sub setiap karnaval
@AndreanHrds,Pansosss
@ekorattam88,"Datang,saksikan,nikmati baru ngreview bos katanya org jatim tp baca horeg ae horek"
@brugmusic4411,"Sound horeg karnaval itu disewa sedesa per rt mereka disewa dan ada panitia. Yg dilewati itu rumh desa penyewa, klo ada kerusakan di ganti klo ada kerusahan ada fasilitas umum mau dibongkar itu di musyawarhakan baru bongkar nanti di ganti oleh panitia dan kegiatan sound ada ijin""nya. Justru yg protes yg ga nyewa yg ga dilewati cuman liat vidio pas lg ngrusak terus nilai."
@miftakulanwar6845,"Ealah recation vidio ta tk pikir terjun nang lokasi,,, "
@gratisan7707,Mending nonton langsung di malang atau daerah lain bang biar tau
@bolopusat-v3d,"lu udah pernah nonton langsung belum bang,kalo belum nonton mending gak usah ikut ngereviuw lah,,kocakkkkk"
@m.novallm.novall22,Baru....anjay itu sejak 2018 cuy
@jarvisspecta8488,Rusak sih
@oziel46motovlog99,"Keluar rumah dari mana.. Kita patungan untuk menyewa bro.. 
Joss sound horek"
@YTgaming.303,First
@m.novallm.novall22,Sadbor gak lo reaction
@alymukson1632,Miris klo g tau son horegg diyem ajh bangg mkn y datang ke malnggg
@AUBERT.DAUBERT.SENGKOEN,Second
@arekmalangselatan1210,Namanya juga Penghuni Planet mars mana tau tentang sound Horeg Lucu Sdm tinggi ini 
@sabantorik4634,Bro mukalo KOTAK 
@AdiKampungrojo,Sound horeg itu yg gk suka itu orang yg gk tau orang luar daerah ..
@RajoLangit-v9d,"Kalau bicara yang real..
Jangan hanya bisa ngomong dari media..
Sini ketemu aku
Biar aku jelaskan
Jangan di balik layar ajaa looo"
@anangbalindra7252,"Sok tau Orang ini
Bikin konten ngaji aja mas biar dapat pahala
Dari pada bikin konten tentang sound horeg
Sedangkan anda sendiri tidak tau fakta nya dilapangan"
@antoklistanto7416,Jakarta juga ikut Jawa bang.
@Kenthuschannel87,Coba buktikan langsung dong jangan cuma tau dari sosmed doang berani apa tidak? Trus tanya langsung warga setempat jangan cuma tau dari google doang
@rezai-bg5vo,Bang kalau mau tau datang  langsung aja ke Jawa timur
@karnokmuhamad4752,Biasa sipaling sdm tinggi
@user-mtmusik,Sini bos aku ajak ngopi bareng subscriber jutaan kalo gak maen langsung kelokasi gak asik bos ntar aku ceritain sampe detail dan aku ajak langsung ngeliat sendiri ke tempat nya jangan ngeliat di video aja
@laskarselatan6710,"orang jakarta itu orang yg gimana boss,,argumenya yg jls,,,,elu hostnya pun china,,,,
Kyak hobi elu paling wah aja...."
@rickyciko,"Bacanya bukan horek mas, tapi horeg."
@AlfianNn-z7p,Los
@ardestacommunity7831,"jangan asal ngonten turun dulu ke lapangan seperti dot co channel. 
malam tahun baru karnaval di ngantang malang jatim. 
jadi gak usah ngebacot."
@masq-x7c,ORANG MANA LU?
@danangfebrianto1519,Itu povmu bang.
@jokoaqila4467,Kampungan gak tau sound horeg
@arjunafarm6563,Konten isinya katanya katanya doang 
@EzaAlvaruq,𝐅𝐮𝐜𝐤
,Next bahas apa lagi nih enaknya di #VERSPEKTIF?
@a.idris11,"Menormalisasi hal yang tidak baik dan berlebihan, menurutku sih kebalikan dari keren."
,Inilah media yang sesungguhnya  jos.. langsung ke sumbernya bukan hanya asal comot video entah dari mana dan ber asumsi sendiri.
@kimagella1993,"Dulu ketika ada media yg memberitakan, bahawa iq rata-rata orang Indonesia itu 78, saya gak percaya, saya merasa itu berita itu cuma framing dari pihak luar, tapi sekarang saya percaya,"
@badangtiktok-e8t,"Saya dari Blitar Jawa Timur apa yang di bicarakan dengan mas kholid memang benar . terutama untuk wilayah malang memang pusat,nya sound horeg"
@Cyan_Nightingale,"Biar sudut pandangnya lengkap & berimbang harusnya Volix Media wawancarai juga perspektif warga yg kena suara sound horeg yg punya anak bayi atau orang dg riwayat penyakit jantung, pengamat musik, pengamat sosiologi, dan para sound engineer terkait fenomena ini. Ini cuma dari sisi pemilik & penggemar horeg nya aja. Jelas bias. Soal ganti ruginya aja gak ada. Malah ada ibu-ibu di Pati dikeroyok karena protes suara truk Horeg. Bedakan pula hobi audio sungguhan (audiophile) dengan hobi ngisruh bernama horeg ini."
@tomyg2835,"intinya di empati, wajar sudah pada kesetanan gapunya empati. ketika nyalain musik dalam pikirannya gak ada terbesit ""apa tetangga terganggu ya? , apa suara ini gak terlalu kencang?"" trus difikir dengan logika. tapi masalahnya para penikmat sound horge gapunya empati. menjunjung tinggi hiburan tanpa memikirkan , dan fokus pada ego sendiri. hatinya sudah mati, karena gengsi dan kebanggaan yg semu dan sesaat. sdm rendah mana paham tentang empati, yang penting kan ngegas hidupnya :)"
@khoirullmukhlisin6233,"Undang-Undang Nomor 1 Tahun 2011 tentang Perumahan dan Kawasan Permukiman:

Pasal 49 ayat (1): Mengatur tentang kegiatan yang tidak mengganggu fungsi hunian, termasuk soal suara, bau, suhu, dan sampah.

Pasal 150 ayat (2): Menetapkan sanksi bagi pemilik tempat usaha yang mengganggu kenyamanan lingkungan hunian.

Undang-Undang Nomor 23 Tahun 2007 tentang Pengelolaan Lingkungan Hidup:
Pasal 104: Mengatur tentang pencemaran lingkungan, termasuk polusi suara.
Pasal 109: Menetapkan sanksi pidana bagi pelaku pencemaran lingkungan.

Undang-Undang Nomor 22 Tahun 2009 tentang Lalu Lintas dan Angkutan Jalan:
Pasal 287: Mengatur tentang larangan membuat suara bising yang mengganggu ketertiban umum."
@ariaone7358,"06:05 bahaya banget kalimat 'dikawal kepolisian', kedepannya bakal ada kalimat horeg dipakai presiden buat kampanye akbar & pelantikan. Orang2 awam bakal mengira horeg ini resmi padahal banyak aturan yg ditabrak demi berlangsungnya acara, sekelas toa masjid aja ada aturannya loh. Potensi benturan di masyarakat sangat besar apalagi yg kontra udah mulai berani bersuara.

 percayalah yg nyawer bukan yg gentengnya rontok, tapi penonton atau maniak2 penyembah horeg. Saweran bukan berarti pemilik rumah seneng rumahnya dirontokkan. Emang diganti dari panitia, tapi uang ganti rugi gak sesuai dgn jumlah kerugian. Proses negoisasi ganti rugi dikelilingi preman2 yg mulutnya bau ciu, pemilik rumah gak berani nuntut lebih karena takut diintimidasi. Saya bisa bilang begini karena saya sendiri bantu saat negoisasi rumah saudara yg rontok karena horeg.

Pemkab malang sekarang cari muka ke massa horeg demi meraih simpati publik karena bupati nyalon periode kedua. Sound horeg ini ditunggangi jadi kendaraan politik gara2 arema fc udah gak menjanjikan buat ditunggangi. Bupati gak perlu janji2 manis saat kampanye, cukup ijin horeg dibuat los dol liar pasti bupati bisa bikin dinasti politik. Warga kabupaten gak butuh pembangunan, butuhnya cuma horeg."
@chococheeze1695,"Lebih banyak mudharat nya sih, saya melihat fenomena ini tidak meningkatkan kualitas manusianya tapi lebih ki ngomporin ego. Dan digunakan untuk kepentingan-kepentingan golongan saja."
@nikenyuniarti7020,Ini bukti orang Indonesia semakin egois mencari kesenangan tanpa mempedulikan akibatnya terhadap lingkungan sekitarnya.
@RezaTri,"Salah satu cara untuk menjadi orang nir-empati adalah gabung dan menikmati sound horeg. 

Sebagai wong asli malang, aku isin poll…"
@SuperGigaleon,"Ini siapa sih yg nyewa sampe jakarta? Kan normalnya di malang, yah? di Jakarta sini ga normal & ganggu, Mas! Kami sibuk kerja & stress!... Si narsumnya jg ga paham kena sarkas."
@Makiichii,Makasih sudut pandangnya. Sekarang saya tau stereotipe Jatim sebagai Jawir paling gatau malu emang bener wkwk
@Dewo2817,Ya sampean bilang gitu. Yg sampean lihat pihak penyewa. Pernah gak pean melihat warga yg mlh ketimpa musibah. Tetanggaq ibunya sampe mininggal dunia. Mau protes gak berani karna lbh banyak peminatnya ketimbang yg gak minat. Itu gmn? Cuman omong kosong kl orang rumahnya rusak itu bahagia mas.  Kl orang gila gua percaya. Tp kl orang otaknya waras jelas enggak
@fayfaizal6443,"Mereka berpikir dengan mereka mengeluarkan uang sebegitu banyakanya dan sampai di jakarta adalah tanda mereka sangat keren, mereka berpikir semua orang menyukainya. mereka lupa kalau uang gak bisa beli kelas. Pemikiran dangkal dan sudut pandang sempit,  ignorant dengan lingkungan. Gak mikir kondisi rumah yang punya bayi maupun lansia, polusi suara atas nama kesenian. Atas nama ""kami ini orang kabupaten, orang kecil"" bertindak semena-mena, mana didukung lagi sama pemerintah, Gila! Harusnya ada regulasi dari pemerintah, g sepatutnya mereka turun ke jalan atau ada didekat pemukiman, kalau sound doang mending sewain ke konser yang jelas ada musisi dan performer di event musik. 

Sebagai orang jawa timur, kalau kalian pengen referensi karnaval kesenian yang beneran kesenian. kalian coba cari kesenian ""Daul-daul madura"". Kesenian yang berbudaya beneran. Berharap orang Jawa timur bisa menunjukkan budaya mereka sungguhan. Jawa Timur banyak suku-suku yang punya budaya kesenian yang lebih baik dari ini."
@agusdear1,"Ada pepatah jawa ""desa mawa cara negara mawa tata"". Kalo bagi masyarakat disekitar sana OK-OK saja soal sound horeg ya sudah biar mereka yang menikmatinya. Bagi daerahku yang kurang umum soal budaya sound horeg cuma bisa senyum sama geleng kepala. 

Di daerahku kalo mau adu bising sound system, para komunitas rental sound system biasanya mengadakan event ""nyetel bareng sound system"" di lapangan pinggiran yang agak jauh dari pemukiman penduduk. Eventnya gratis bisa dihadiri ""yang mau mau saja"", jadi tidak ""mengganggu"" bagi yang kurang suka sound horeg."
@muliabakery8468,"Bayangin diliput media internasional, image Indonesia bisa mirip prindafun dimata dunia"
@jorengespyur,"secara pribadi saya tidak berminat tapi juga tidak terganggu dengan adanya fenomena sound horeg ini. pendapat pribadi saya mungkin memang harus ada aturan tertentu yang mengatur agar adanya sound horeg ini lebih tertib dan teratur, misal ada aturan volume maksimal berapa ketika ada di lapangan atau saat sedang karnaval keliling jalan. waktu awal2 viral dulu desa tetangga ada yg mengundang sound horeg BREWOG AUDIO dilapangan, saat itu seminggu sebelum acara pihak panitia mendata warga yg ada penyakit jantung dan lansia untuk diungsikan sementara ke radius wilayah yg aman. acara berjalan dengan lancar dan tidak ada kerusakan apapun krna kebetulan acara memang ada dilapangan luas, sekeliling adalah sawah dan kebun warga, jauh dari rumah2 warga. intinya lebih baik jangan dilarang tp dibuatkan saja aturan tertentu agar lebih tertib. saya pribadi jika ada acara sound horeg mungkin tidak akan menonton dan cenderung menghindari, tapi tidak membenci. kesenangan orang memang banyak macamnya, jangan salahkan mereka tp cari solusi terbaik agar kesenangan itu juga tidak mengganggu orang lain,. salam santun..."
@baihakikiki3238,"saya orang Jakarta sangat suka sound horeg, terimakasih kedatangannya sound horeg Jatim"
@WRahardjo1993,"""Di Malang kalau genteng rontok itu udah biasa mas. Kalau dibilang sound horeg SDM rendah, sori, kami sudah sampai Jakarta""

Yee kocak. Ya emang kudunya kaya di Jakarta tuh, nyetel horeg di jalan, di tempat luas yang jauh dari pemukiman. Baru tahu ini gw ada orang ngerusak pemukiman warga malah bangga."
@Fithozee,"Negara seperti di Jerman yg padahal sedikit tempat wisatanya tapi turis sering berdatangan karena dari perumahannya saja sudah sangat asri tidak ada polusi suara, apalagi sampah."
@SunClouds12,"Tetap kontra, gaduh dan riuh banget. Minim empati yang punya horeg"" ini.  Bilang 1% 2% doang tapi itu opini sendiri, mana buktinya kalo yang dirugikan persentasenya segitu???"
@kabupatenmalang,"Volix juga harus membahas, aturan yang mengatur sound horeg, berapa desibel yang boleh di dengarkan, aturan jam sound horeg."
@AhmadKRB,"TIDAK HANYA SOUND HOREG

Kegiatan yang mengganggu orang lain dianggap sebagai SDM rendah karena menunjukkan kurangnya kemampuan dalam berinteraksi sosial secara positif. Individu yang mengganggu sering kali tidak mempertimbangkan perasaan dan kebutuhan orang lain, mencerminkan:

Kurangnya Empati: 
Tidak mampu merasakan atau memahami perasaan orang lain.

Keterampilan Komunikasi yang Buruk: 
Kesulitan dalam berkomunikasi secara efektif tanpa konflik.

Ketidakmampuan Mengelola Emosi: 
Sering kali terpengaruh oleh emosi negatif yang mengarah pada perilaku mengganggu.

Ya, mengganggu orang lain bisa dianggap sebagai tanda rendahnya sumber daya manusia (SDM). Hal ini sering kali mencerminkan kurangnya empati, keterampilan sosial, dan kesadaran akan dampak perilaku terhadap orang lain. Individu dengan SDM yang lebih baik cenderung menunjukkan perilaku yang lebih positif dan saling menghormati."
@orangtampan6675,"Kenalpot bising di larang karena kita tau itu merugikan orang lain, tapi ini lebih bising lagi sampe bikin kaca pecah genteng rontok, dan beliau ini berani bilang rumah rubuhpun gapapa, dan mereka kasih izin atas perbuatan yang jelas jelas merugikan orang lain. Negara kita sakit, semoga cepet sembuh Indonesia."
@muhammadluthfihakim6129,"Sekarang coba ganti wawancara para korban yang rumahnya hancur, bayinya meninggal, dst. biar adil. Dan minimal kalau punya logika dipakai lah apa dampaknya, positif atau negatif, baik atau buruk. Bukan hanya untuk kepentingan pribadi tapi juga orang banyak. "
@MakhlukTerang,"kontribusi sound horeg untuk negara apa? 

kata orang orang membantu ekonomi orang sekitar dan anak anak yatim piatu tapi PC temenku rusak dia kena getaran kuat sound horeg, dia komplain gak di peduliin malah dilawan bawa satu rombongan (udah kyak geng motor atau geng tawuran)

padahal temenku tuh pejuang freelancer dari online nyari $ untuk keluarga dan juga itu membantu ekonomi seluruh rakyat indonesia karena jadi pejuang visa yang bantu nurunin harga dollar

itu baru temenku, belum yang lain yang jadi kena masalah kesehatan maupun kerusakan lainnya, mau komplain dimana dan belum tentu diganti rugi + paling bawa rombongan lagi fans"" sound horeg buat nolak ganti rugi 

coba liat india, walaupun mereka itu lebih gede sound horegnya tapi mereka di persawahan atau di tempat jauh dari pemukinan disekeliling ada banyak pepohonan"
@hahahuhu46,"SDM TERENDAH DI INDONESIA, YA PENDENGAR SOUND HOREG INI, SEMOGA KALIAN CONGEAN AMPE IJO, AMIN"
@YAOLChannel,"Siapa bilang yg komen negatif itu hanya netizen saja. Contohnya saya, di kampung suami saya pas acara carnaval subhannallah kencengnya na'udzubillah . Rumah sampai getar2, itu betul2 mengganggu loh mas  kesal sekali saya."
@Ryoo2279,0:48 oalah kesalahan berfikir ternyata
@ahmadzaco7361,"Ayo dong media"" ibu kota ikut liputan acara pesona gondanglegi dong "
@edisanjaya5483,Ini baru chanel yg perlu di apresiasi.. Lgsg cari informasi ke lokasi.. Bukan cuma nyari info di tiktok... Yg di publish minusnya doank
@talkhayr,Sdm tinggi tidak mengatakan orang lain sdm rendah. Justru orang yang men judge tanpa tau fakta dan realita di lapangan malah yang IQ nya rendah.
@chanwalk6774,"Patut di apresiasi kontennya, terjun langsung ke lapangan gk kayak yang lain cuma dapat info dari CUPLIKAN NEGATIF & KATANYA"
@selimutbening4153,"Dampak mendegarkan suara terlalu keras
・Kerusakan indera pendengaran yang dapat menurunkan pendengaran baik bersifat sementara maupun permanen atau ketulian
・Meningkatkan denyut nadi, konstriksi pembuluh darah perifer terutama tangan dan kaki
・Terganggunya sensoris dan denyut jantung
・Meningkatkan risiko serangan jantung meningkat

lalu, manfaatnya apa?"
@tkijatimofficial,"di kota malang saya jual asongan dan disetiap ada festifal karnafal & sound horeg alham dulillah jualan saya pasti slalu habis meningkat 3x lipat. & warga sangat antusias 
i love you. kota malang "
